occurrenceID	taxonID	catalogNumber	collectionCode	institutionCode	typeStatus	verbatimLabel	sex	individualCount	eventDate	recordedBy	recordNumber	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	country	stateProvince	municipality	locality	references	basisOfRecord
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF539CA96F7FBE9F924	026F1569FFD2FFF4398A9638FE49FE76.taxon					Ritidian Pt., April 16, Bryan		1	2016-04	Bryan								Ritidian Pt.	Bryan	http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53C1C96F7FA0BF924	026F1569FFD2FFF4398A9638FE49FE76.taxon					Agana, Aug. 13, Rowley		1	2013-08	Rowley								Agana	Rowley	http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53E3E96F7FDA7F910	026F1569FFD2FFF4398A9638FE49FE76.taxon					Barrigada, June, Swezey		1	June	Swezey								Barrigada	Barrigada	http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53A629683FCA0F910	026F1569FFD2FFF4398A9638FE49FE76.taxon					Piti, May 12		1	2012-05	O. H. Swezey								Piti	Piti	http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53B649683FC28F910	026F1569FFD2FFF4398A9638FE49FE76.taxon					July 7,		1	July 7	O. H. Swezey										http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53BDC9683FBECF910	026F1569FFD2FFF4398A9638FE49FE76.taxon					24		1	24	O. H. Swezey										http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD2FFF4398A9638FE49FE76.mc.3AAEAE22FFD2FFF53C189683FA8AF8DD	026F1569FFD2FFF4398A9638FE49FE76.taxon					Sept. 16 - 20, Swezey, from trellised flowers of Antigonon leptopus, numerous males and females	male	2	2020-09-16	Swezey										http://treatment.plazi.org/id/026F1569FFD2FFF4398A9638FE49FE76	PreservedSpecimen
026F1569FFD3FFF4392392F2FC1CFC72.mc.3AAEAE22FFD3FFF439649281FAEDFCED	026F1569FFD3FFF4392392F2FC1CFC72.taxon					Tarague Beach, on cotton flowers, May 17, Swezey		1	2017-05	Swezey								Tarague Beach	Tarague Beach	http://treatment.plazi.org/id/026F1569FFD3FFF4392392F2FC1CFC72	PreservedSpecimen
026F1569FFD3FFF4392392F2FC1CFC72.mc.3AAEAE22FFD3FFF43D169281FB44FC87	026F1569FFD3FFF4392392F2FC1CFC72.taxon					Machanao, June 30, community nest in large, partly rotten breadfruit stump, with dozens of bees nesting in easily excavated wood, Usinger, Swezey		1	1930-06	Usinger & Swezey								Machanao	Machanao	http://treatment.plazi.org/id/026F1569FFD3FFF4392392F2FC1CFC72	PreservedSpecimen
026F1569FFD3FFF4392392F2FC1CFC72.mc.3AAEAE22FFD3FFF43C829369FE48FC72	026F1569FFD3FFF4392392F2FC1CFC72.taxon					Orote Peninsula, Sept. 27, Swezey		1	1927-09	Swezey									Orote Peninsula	http://treatment.plazi.org/id/026F1569FFD3FFF4392392F2FC1CFC72	PreservedSpecimen
