key|collectedFrom
3385256301|
3385256302|
3385256305|
3385256306|
3385256307|
3385256303|
|from trellised flowers of Antigonon leptopus
3385256304|A large colony was observed hanging beneath a large branch of a Pithecolobium tree
3334183304|
3386492302|on coconut blossoms
3386492305|
3386492304|
3386492301|
3386492303|
3331443311|on sunflower
3385257302|on cotton flowers
3385257301|community nest in large, partly rotten breadfruit stump, with dozens of bees nesting in easily excavated wood
3390911313|
3390911305|
3390911301|
3390911312|
3390911306|
3390911314|
3390911309|on flowers of unknown shrub
3390911311|
3390911307|
3390911304|
3390911302|on tobacco flowers
3390911310|on Glochidion flowers
3390911303|
3390911308|
3331825344|
3331825333|
3914035322|
3914035302|
3331825328|
3331825316|
3331825342|gully
3914035332|
3914035344|
3992126301|eight parasites were obtained from the eggs of this leafhopper
3914035366|
3914035315|
3914035333|
3914035301|
3914035349|
3914035331|
3914035320|
3914035335|leafhoppers were so numerous in rice seedling plots as to ruin the young plants. At that time they were coming to lights by hundreds in the village more than half a mile distant
3914035355|they were abundant in the seedling plots, but not destructive
3914035348|in the evening, this leafhopper was swarming at the electric lights on the dock at Piti
3993955301|in the Governor's Report for 1934, where a Megamelus is reported on rice at Merizo, Piti, Asan, Atantao, and Agat
3914035351|several leafhoppers were collected having dryinid larvae attached, and one male dryinid was reared. Its identity is unknown.
3914035311|reported as a pest on corn
3914035321|
3914035341|
3914035339|
3914035327|
3914035328|
3914035313|
3331825362|
3914035353|
3914035325|
3914035317|
3914035337|
3914035352|at the Agricultural School Farm, one exit hole of Ootetrastichus was seen in a cane leaf, but no other evidence of this parasite was found.
3914035303|
3914035316|
3914035326|
3914035324|
3914035310|
3914035314|on Physalis
3914035367|
3914035350|
3914035361|on Emilia
3914035334|on sugar cane
3914035312|
3914035340|on Glochidion
3914035307|
3914035319|
3914035329|
3331825319|on Pipturus and Sida
3914035330|abundant on Pandanus leaves
3914035346|abundant on Pandanus leaves
3331825371|
3331825304|on Pandanus
3331825376|
3331825372|on Cycas
3331825373|
3331825311|on Psychotria
3914035359|
3914035338|
3331825365|on Piper
3331825334|
3331825306|on Premna
3331825350|
3914035304|
3914035363|
3331825330|
3331825343|
3331825302|on Hernandia and grass
3331825370|on Calophyllum
3331825312|on mango
3331825364|
3331825345|
3331825314|
3331825375|
3331825357|on Barringtonia racemosa
3914035347|
