identifier	taxonID	type	CVterm	format	language	title	description	additionalInformationURL	UsageTerms	rights	Owner	contributor	creator	bibliographicCitation
EC6DA359F5043F644B58EAB6FB84C332.text	EC6DA359F5043F644B58EAB6FB84C332.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Brachyplatys pacificus Dallas	<div><p>1. Brachyplatys pacificus Dallas.</p> <p>Brachyplatys pacifica Dallas, List Hemipt. Brit. Mus. 1: 70, 1851.</p> <p>One specimen each collected by Fullaway, 1911, and Hornbostel, August 1923. Five specimens, Usinger, and three specimens, Swezey, Ritidian Point, at the end of the road, June 30. These were found on a wide variety of plants, but eggs were discovered on only two kinds of plants, one of which was Pipturus. The eggs were found in batches of nine eggs each, arranged alternately in two parallel rows. They are creamy white with the chorion finely punctate, approximately 1 mm. in length and 0.50.mm. wide. The micropylar end is circular and subflattened with its surface feebly convex. A distinct, pale carina surrounds this apical plate. Along the middle of the egg is a broad, elevated ridge which is laterally impunctate and medially depressed and punctate. Upon hatching, the micropylar end opens as a hinged lid, the hinge being at the longitudinal ridge. A T-shaped egg burster is present. As development proceeds, red eye spots appear as is usual with hemipterous eggs. One batch of eggs collected at Ritidian Point, June 30, was parasitized by Ooencyrtus pacificus Waterston, as determined by D. T. Fullaway. Fourteen more specimens were taken by Swezey at Ritidian Point on August 6, 1936, one at Orote Point, Sept. 27, one at Dandan, July 17, one at Machanao, June 4, and one on Ipomoea on Mt. Alifan, June 19. I collected one on Mt. Alifan, May 26 and two on morning-glory at Machanao, June 4, 1936.</p> <p>This species had previously been reported from the Marianas Islands (Distant, Nova Caled., Zool. 1: 370, 1914).</p></div> 	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5053F644BD3E76EFC59C858.text	EC6DA359F5053F644BD3E76EFC59C858.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Coleotichus (Paracoleotichus) breddini Schouteden	<div><p>4. Coleotichus (Paracoleotichus) breddini Schouteden.</p> <p>Coleotichus breddini Schouteden, Hist.- Nat. Mus. Nat. Hung., Ann. 3: 344, 1905.</p> <p>One specimen, Guam, Fullaway (1178); TODO eight specimens, Yigo, May 19, on Premna gaudichaudii, Usinger; si:x specimens, Piti, Sept. 11, 12, 13, Oct. 14, Nov. 10, at light, Swezey.</p> </div>	https://treatment.plazi.org/id/EC6DA359F5053F644BD3E76EFC59C858	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5053F644BD2ECA1FDF1C642.text	EC6DA359F5053F644BD2ECA1FDF1C642.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Geotomus flavo-marginata Vollenhoven	<div><p>3.? Adrisa flavo-marginata Vollenhoven,</p> <p>Versl. Akad. Arnst., Natuurk. II: 177, 14, 1868.</p> <p>One specimen, Machanao, June 4, on the ground, Usinger; one specimen, Mt. Alifan, June 27, Usinger; one specimen, Barrigada, July 22, under chips, Swezey.</p> <p>These specimens were collected in a dead and dried condition with all appendages except a middle and a hind femur and rostrum of one specimen broken off. Hence the identification of these as a New Caledonian species is questionable. Even the generic assignment is doubtful because the number of antenna! segments is not known.</p> <p>The specimens agree fairly well with Signoret's description and figure (Soc. ent. France, Ann. VI, 1: 212, pl. 8, fig. 33, 1881) but the pronotum is almost entirely black and the ocelli are practically invisible. Only in one specimen is there even a trace of ocelli. This condition is at once suggestive of the New Zealand Choerocydnus albosignatus Buchanan White, but the Guam specimens differ from this in color, puncturation, and form of ostiolar canal.</p> </div>	https://treatment.plazi.org/id/EC6DA359F5053F644BD2ECA1FDF1C642	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5053F644BD0ED8AFBBEC2CF.text	EC6DA359F5053F644BD0ED8AFBBEC2CF.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Geotomus pygmaeus (Dallas 1851)	<div><p>2. Geotomus pygmaeus (Dallas).</p> <p>Aethus pygmaeus Dallas, List Hemipt. Brit. Mus. 1: 120, 1851.</p> <p>Piti, June, July, August, September, most frequently at light, 11 specimens, Swezey, and four specimens, Usinger.</p> </div>	https://treatment.plazi.org/id/EC6DA359F5053F644BD0ED8AFBBEC2CF	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5053F674BD3E639FBC9C902.text	EC6DA359F5053F674BD3E639FBC9C902.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Coleotichus (Epicoleotichus) marianensis Usinger 1946	<div><p>5. Coleotichus (Epicoleotichus) marianensis, new species.</p> <p>Moderately robust, predominantly fulvous with blue-green punctures. Lateral margins of head and pronotum nearly straight. Impunctate lateral margins of pronotum narrow but distinct. Connexival angles scarcely produced, almost right angles.</p> <p>Head one fifth broader than long, 93: 78; eyes one fourth as broad as interocular space, 15: 60; sides of juga moderately sinuate, narrowly impunctate; disk of head very sparsely, shallowly punctate in ill-defined rows, densely and more coarsely punctate just within lateral margins; tylus shallowly punctate and feebly rugose just behind the apex; apex smooth, impunctate, and feebly elevated. Proportion of antenna! segments one to five as 21: 21: 40: 46: 50. Rostrum reaching to base of third abdominal segment; third segment slightly longer than fourth, 56: 53.</p> <p>Pronotum strongly, evenly convex at least posteriorly, gradually and continuously sloping onto head anteriorly; less than twice as broad across humeral angles as long, 207: 126; lateral margins nearly rectilinear, the expanded impunctate area narrowing anteriorly; humeri nearly right angles, rounded at apices; disk rather evenly, shallowly punctate in sinuate, often broken lines, the punctures about one puncture width apart in the lines and two or more puncture widths apart between the lines; punctures much coarser and denser sublaterally; callosities surrounded by a row of punctures and with an irregular row transversely at middle; longitudinal impunctate line distinct except posteriorly.</p> <p>Scutellum almost three fourths as broad as long, 153: 210; sides rounded just at base, then subparallel to slightly beyond middle beyond which they converge to broad, subtruncate apex; disk closely, rather evenly punctate, the punctures less than one puncture width apart except along extreme base between sublateral impunctate elevations and along illdefined midline. Hemelytra moderately exposed, the costal margin smooth and impunctate, with a broad row of deep, confluent punctures sublaterally; membrane exceeding tip of scutellum. Connexivum moderately exposed, the postero-lateral angles scarcely produced, but little more than right angles except on last segment. Male genital capsule a little more than half again as broad as long, 55: 35, not extending beyond the edge of scutellum or membrane and roundly emarginate posteriorly; parameres each with a short, inner, snbapical protuberance, the apex evenly hooked. Female genital plates distinctive, the median ventral plates subtriangular, broad mesad, acute laterally and subacute apically; posterior or tergal plates more strongly rounded apically with a broad, deep notch at middle.</p> <p>Color rather uniformly fulvous brown tinged with bluish green in the punctures, with paler ochraceous lateral pronotal margins, sublateral elevated spots at base of scutellum, connexivum except on postero-lateral angles, and entire under surface including legs and antennae. Claws, setal bundle of rostrum, sublateral pronotal fasciae, spot at inner edge of each callosity, spot at inner edge of each sublateral scutellar elevation, two sublateral and one median fasciae on scutellar disk, and connexival angles black.</p> <p>Size: male, length 17 mm., width 9.25 mm.; female, length 19.5 mm.; width 10.5 mm.</p> <p>Holotype female, Piti, at light, Aug. 20, Swezey; allotype male, same data, Oct. 6; paratypes, three males, six females, Piti, at light, Augu,st to October, Swezey, one female, Piti, at light, June 18, Usinger.</p> <p>C. marianensis is perhaps closest to the Philippine schultzei Taeuber, a species which is much broader and more robust with broader glabrous areas along lateral margins of pronotum, more arcuate lateral pronotal margins, brown-colored punctures, broader male genital capsule which exceeds the limits of scutellum and membrane, and more uniformly broad median ventral female genital plates with broadly rounded apices.</p> </div>	https://treatment.plazi.org/id/EC6DA359F5053F674BD3E639FBC9C902	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5063F664B5AE783F998C2E5.text	EC6DA359F5063F664B5AE783F998C2E5.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Calliphara munda Stal.	<div><p>6. Calliphara (Chrysophara) munda Stal.</p> <p>Calliphara munda Stal, Berlin. Ent. Zeitschr. 10: 153, 1866.</p> <p>One damaged specimen, Guam, Fullaway (1177); six adults, two nymphs, and eggs, Ritidian Point, Aug. 6, on Glochidion and other trees, Swezey; 12 specimens, Piti, Aug. 12-27, on Glochidion, Swezey; eight specimens, Rota, Marianas, July 31, 1925, Hornbostel.</p> <p>These specimens run directly to C. munda Stal and agree in size and color with Sta.l's description. However, the sides of the venter and the thorax and scutellum are said to be sparingly ("parce") punctate in Sta.l's male type which is from China. I have not seen specimens of this from China or elsewhere. The males lack connexival spines, thus agreeing with Sta.l's type, but the females have minute spines on the fourth, fifth, and sixth connexival segments. The male genital capsule is short and broadly, roundly widened and flaring posterolaterally with the apical margin broadly, roundly emarginate at middle.</p> </div>	https://treatment.plazi.org/id/EC6DA359F5063F664B5AE783F998C2E5	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5073F664BF2E979F97EC6B5.text	EC6DA359F5073F664BF2E979F97EC6B5.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Alciphron glaucus (Fabricius)	<div><p>8. Alciphron glaucus (Fabricius).</p> <p>Cimex glaucus Fabricius, Syst. Ent., 714, 1775.</p> <p>One specimen, Dededo, May 11, on Cycas, Usinger. Recorded previously from New Caledonia (type locality), Australia, and Fiji. The genus was proposed for this unique species by Stal (Enum. Hemipt. 5:67, 101, 1876). I have seen specimens from North Queensland, Illingworth, and Viti Levu, Valentine and Zimmerman. New records include five specimens from Tutuila, Fullaway, and three from Guadalcanal, Kusche. The Fijian and Guam specimens are smaller and greener than the others but are similar structurally.</p> </div>	https://treatment.plazi.org/id/EC6DA359F5073F664BF2E979F97EC6B5	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5073F664BF2EB37FC22C498.text	EC6DA359F5073F664BF2EB37FC22C498.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Glaucias inornata (Stal)	<div><p>7. Glaucias inornata (Stal).</p> <p>Eangis inornata Stal, Ofv. K. Vet. -Akad. Forh. 27: 633, 1870.</p> <p>A single female specimen is at hand, labeled " Island of Guam " from the collection of D. T. Fullaway (1179). I have no Philippine specimens with which to compare it, but the Guam specimen agrees with Sta.l's description of a male except that it is only 7.5 mm. wide across the humeri. A female from Angaur in the Carolines collected by Y. Kondo, April 15, 1936, is very similar but has black connexival angles.</p> </div>	https://treatment.plazi.org/id/EC6DA359F5073F664BF2EB37FC22C498	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5073F614BF1E769FAE3C0B5.text	EC6DA359F5073F614BF1E769FAE3C0B5.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Catacanthus	<div><p>9. Catacanthus species.</p> <p>The head and appendages are missing. It is dark bluish black above with a striking, arcuate, transverse white fascia on the pronotum. This fascia is widest at the middle where it nearly touches anterior margin. It tapers laterally to humeri. The edges of pronotum, claval suture, embolar vein, and margins of corium are narrowly pale, the hind angles of connexival segments and extreme edges are dark, the narrow outer edges of connexivum are pale, the broad connexival plates are entirely black. The membrane is dark brown with a broad apical spot pale. The under surface is mostly pale, ochraceous. The abdominal spine extends forward between the front coxae and is subacute and slightly turned upward at tip. The male genital capsule is relatively small and is produced laterally as thick subrounded lobes rather than as subflattened, lamellate lobes such as occur in taiti Distant and viridicatiis Distant. Size: length from anterior margin of pronotum to tip of abdomen, 17.5 mm.; width across humeri, 10 mm.</p> <p>Mt. Alifan, June 27, one dead specimen, Usinger.</p> <p>This is almost certainly a new species but I do not feel justified in proposing a new name on such a fragmentary specimen.</p></div> 	https://treatment.plazi.org/id/EC6DA359F5073F614BF1E769FAE3C0B5	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
EC6DA359F5003F614B55ED0DF943C754.text	EC6DA359F5003F614B55ED0DF943C754.taxon	http://purl.org/dc/dcmitype/Text	http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription	text/html	en	Parealda chrysoptera (Herrich-Schaeffer)	<div><p>10. Parealda chrysoptera (Herrich-Schaeffer).</p> <p>Asopus chrysopterus Herrich-Schaeffer, Wanz. Insekt. 7: 114 a, 115, fig. 781, 1844.</p> <p>Cantheconidea chrysoptera Schouteden, Gen. Insect. 52: 44, 1907.</p> <p>Parealda bouvieri Schouteden, Soc. ent. Belg., Ann. 51: 47, 1907. New synonymy.</p> <p>Parealda bouvieri Schouteden, Gen. Insect. 52: 65, pl. 5, fig. 3, 1907.</p> <p>Asopus? chrysopterus Bergroth, Ann. Mag. Nat. Hist. VIII, 15: 484, 1915.</p> <p>Two specimens, Guam, Fullaway (1418); TODO one specimen, Guam, 1923, edge of forest, Hornbostel; one specimen, Mt. Alifan, April 21, E. H. Bryan, Jr.; one specimen, Inarajan, July 25, on Triphasia, Swezey.</p> <p>This species was originally described from Guam by Herrich-Schaeffer and is easily recognizable from his colored illustration. As pointed out by Bergroth, Schouteden erroneously placed this in Cantheconidea. Bergroth, in suggesting that chrysopterus "belongs to an undescribed genus," overlooked the fact that Schouteden had already described a new genus and species, Parealda bouvieri, for this same insect and keyed it out in its proper place in his Genera Insectorum. Thus the specific name of Herrich-Schaeffer and the generic name of Schouteden stand, while Schouteden's specific name bouvieri falls as a synonym.</p> </div>	https://treatment.plazi.org/id/EC6DA359F5003F614B55ED0DF943C754	Public Domain	No known copyright restrictions apply. See Agosti, D., Egloff, W., 2009. Taxonomic information exchange and copyright: the Plazi approach. BMC Research Notes 2009, 2:53 for further explanation.		Plazi	Usinger, Robert L.	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934
