occurrenceID	taxonID	catalogNumber	collectionCode	institutionCode	typeStatus	verbatimLabel	sex	individualCount	eventDate	recordedBy	recordNumber	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	country	stateProvince	municipality	locality	references	basisOfRecord
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F654B17E93DFB07C717	EC6DA359F5043F644B58EAB6FB84C332.taxon					One specimen each collected by Fullaway, 1911,		1	1911	D. T. Fullaway								Guam			Guam	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F654E98E93DFE75C7D9	EC6DA359F5043F644B58EAB6FB84C332.taxon					and Hornbostel, August 1923.		1	1923-08	H. G. Hornbostel								Guam			Guam	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F654BD0E9EFFC8BC7D9	EC6DA359F5043F644B58EAB6FB84C332.taxon					Five specimens, Usinger,		1	1936-06-30	R. L. Usinger								Guam			Ritidian Point	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F6549E1E9EFFC78C78C	EC6DA359F5043F644B58EAB6FB84C332.taxon					and three specimens, Swezey, Ritidian Point, at the end of the road, June 30.		3	1936-06-30	O. H. Swezey								Guam			Ritidian Point	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F654F93E7D4FAEFC825	EC6DA359F5043F644B58EAB6FB84C332.taxon					One batch of eggs collected at Ritidian Point, June 30, was parasitized by Ooencyrtus pacificus Waterston, as determined by D. T. Fullaway. Fourteen more specimens were taken by Swezey at Ritidian Point on August 6, 1936	egg	1	1936-06-30	D. T. Fullaway								Guam			Ritidian Point	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F654F4FE649FA51C8E9	EC6DA359F5043F644B58EAB6FB84C332.taxon					Fourteen more specimens were taken by Swezey at Ritidian Point on August 6, 1936		14	1936-08-06	O. H. Swezey								Guam			Ritidian Point	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F654FAAE63FFDADC8DC	EC6DA359F5043F644B58EAB6FB84C332.taxon					one at Orote Point, Sept. 27,		1	1936-09-27	O. H. Swezey								Guam			Orote Point	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F654839E6E2FBE5C8DC	EC6DA359F5043F644B58EAB6FB84C332.taxon					one at Dandan, July 17,		1	1936-07-17	O. H. Swezey								Guam			Dandan	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F654E71E6E2FA3DC8DC	EC6DA359F5043F644B58EAB6FB84C332.taxon					one at Machanao, June 4,		1	1936-06-04	O. H. Swezey								Guam			Machanao	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
EC6DA359F5043F644B58EAB6FB84C332.mc.D4AC1812F5043F644F89E6E2FBE4C0D6	EC6DA359F5043F644B58EAB6FB84C332.taxon					and one on Ipomoea on Mt. Alifan, June 19		1	1936-06-19	O. H. Swezey								Guam			Mount Alifan	https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332	MaterialCitation
