identifier	taxonID	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	journal	volume	publisher	authorList	editorList	created	language	uri	doi
EC6DA359F5043F644B58EAB6FB84C332.ref	EC6DA359F5043F644B58EAB6FB84C332.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 19-20, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			19	20			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5053F644BD3E76EFC59C858.ref	EC6DA359F5053F644BD3E76EFC59C858.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 20-20, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			20	20			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5053F644BD2ECA1FDF1C642.ref	EC6DA359F5053F644BD2ECA1FDF1C642.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 20-20, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			20	20			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5053F644BD0ED8AFBBEC2CF.ref	EC6DA359F5053F644BD0ED8AFBBEC2CF.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 20-20, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			20	20			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5053F674BD3E639FBC9C902.ref	EC6DA359F5053F674BD3E639FBC9C902.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 20-21, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			20	21			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5063F664B5AE783F998C2E5.ref	EC6DA359F5063F664B5AE783F998C2E5.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 21-22, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			21	22			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5073F664BF2E979F97EC6B5.ref	EC6DA359F5073F664BF2E979F97EC6B5.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 22-22, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			22	22			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5073F664BF2EB37FC22C498.ref	EC6DA359F5073F664BF2EB37FC22C498.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 22-22, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			22	22			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5073F614BF1E769FAE3C0B5.ref	EC6DA359F5073F614BF1E769FAE3C0B5.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 22-23, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			22	23			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5003F614B55ED0DF943C754.ref	EC6DA359F5003F614B55ED0DF943C754.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 23-23, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			23	23			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5003F604B53E8CDF917C2AE.ref	EC6DA359F5003F604B53E8CDF917C2AE.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 23-24, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			23	24			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5013F604B86E844F907CB69.ref	EC6DA359F5013F604B86E844F907CB69.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 24-24, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			24	24			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
EC6DA359F5013F604B83EB38FABAC730.ref	EC6DA359F5013F604B83EB38FABAC730.taxon	book chapter	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189, 11-103: 24-24, DOI:http://doi.org/10.5281/zenodo.5173934	Hemiptera Heteroptera of Guam			24	24			Bernice P. Bishop Museum, Bulletin 189	Usinger, Robert L.		1946	en		
