taxonID	namePublishedIn	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	kingdom	phylum	class	order	family	genus	taxonRank	scientificName	scientificNameAuthorship	canonicalName	verbatimScientificName	basionymAuthors	basionymYear	combinationAuthors	combinationYear	taxonomicStatus	nomenclaturalStatus	references
EC6DA359F5043F644B58EAB6FB84C332.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Plataspidae	Brachyplatys	species	Brachyplatys pacificus Dallas	Dallas	Brachyplatys pacificus	Brachyplatys pacificus Dallas			Dallas				https://treatment.plazi.org/id/EC6DA359F5043F644B58EAB6FB84C332
EC6DA359F5053F644BD3E76EFC59C858.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Pentatomidae	Coleotichus	species	Coleotichus (Paracoleotichus) breddini Schouteden	Schouteden	Coleotichus (Paracoleotichus) breddini	Coleotichus (Paracoleotichus) breddini Schouteden.			Schouteden				https://treatment.plazi.org/id/EC6DA359F5053F644BD3E76EFC59C858
EC6DA359F5053F644BD2ECA1FDF1C642.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Cydnidae	Geotomus	species	Geotomus flavo-marginata Vollenhoven	Vollenhoven	Geotomus flavo-marginata	Adrisa flavo-marginata Vollenhoven			Vollenhoven				https://treatment.plazi.org/id/EC6DA359F5053F644BD2ECA1FDF1C642
EC6DA359F5053F644BD0ED8AFBBEC2CF.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Cydnidae	Geotomus	species	Geotomus pygmaeus (Dallas 1851)	(Dallas 1851)	Geotomus pygmaeus	Geotomus pygmaeus (Dallas)	Dallas	1851					https://treatment.plazi.org/id/EC6DA359F5053F644BD0ED8AFBBEC2CF
EC6DA359F5053F674BD3E639FBC9C902.taxon	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934				Animalia	Arthropoda	Insecta	Hemiptera	Pentatomidae	Coleotichus	species	Coleotichus (Epicoleotichus) marianensis Usinger 1946	Usinger 1946	Coleotichus (Epicoleotichus) marianensis	Coleotichus (Epicoleotichus) marianensis			Usinger	1946		spec. nov.	https://treatment.plazi.org/id/EC6DA359F5053F674BD3E639FBC9C902
EC6DA359F5063F664B5AE783F998C2E5.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Scutelleridae	Calliphara	species	Calliphara munda Stal.	Stal.	Calliphara munda	Calliphara (Chrysophara) munda Stal.			Stal.				https://treatment.plazi.org/id/EC6DA359F5063F664B5AE783F998C2E5
EC6DA359F5073F664BF2E979F97EC6B5.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Cimicidae	Alciphron	species	Alciphron glaucus (Fabricius)	(Fabricius)	Alciphron glaucus	Alciphron glaucus (Fabricius)	Fabricius						https://treatment.plazi.org/id/EC6DA359F5073F664BF2E979F97EC6B5
EC6DA359F5073F664BF2EB37FC22C498.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Pentatomidae	Glaucias	species	Glaucias inornata (Stal)	(Stal)	Glaucias inornata	Glaucias inornata (Stal)	Stal						https://treatment.plazi.org/id/EC6DA359F5073F664BF2EB37FC22C498
EC6DA359F5073F614BF1E769FAE3C0B5.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Cimicidae	Catacanthus	genus	Catacanthus		Catacanthus	Catacanthus							https://treatment.plazi.org/id/EC6DA359F5073F614BF1E769FAE3C0B5
EC6DA359F5003F614B55ED0DF943C754.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Pentatomidae	Parealda	species	Parealda chrysoptera (Herrich-Schaeffer)	(Herrich-Schaeffer)	Parealda chrysoptera	Parealda chrysoptera (Herrich-Schaeffer	Herrich-Schaeffer						https://treatment.plazi.org/id/EC6DA359F5003F614B55ED0DF943C754
EC6DA359F5003F604B53E8CDF917C2AE.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Coreidae	Leptoglossus	species	Leptoglossus australis (Fabricius 1775)	(Fabricius 1775)	Leptoglossus australis	Leptoglossus australis (Fabricius)	Fabricius	1775					https://treatment.plazi.org/id/EC6DA359F5003F604B53E8CDF917C2AE
EC6DA359F5013F604B86E844F907CB69.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Alydidae	Leptocorisa	species	Leptocorisa acuta (Thunberg 1783)	(Thunberg 1783)	Leptocorisa acuta	Leptocorisa acuta (Thunberg)	Thunberg	1783					https://treatment.plazi.org/id/EC6DA359F5013F604B86E844F907CB69
EC6DA359F5013F604B83EB38FABAC730.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Coreidae	Plinachtus	species	Plinachtus acicularis (Fabricius 1803)	(Fabricius 1803)	Plinachtus acicularis	Plinachtus acicularis (Fabricius)	Fabricius	1803					https://treatment.plazi.org/id/EC6DA359F5013F604B83EB38FABAC730
EC6DA359F5023F634B4FEEEDF9A7C5AC.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Alydidae	Melanacanthus	species	Melanacanthus margineguttatus Distant	Distant	Melanacanthus margineguttatus	Melanacanthus margineguttatus Distant			Distant				https://treatment.plazi.org/id/EC6DA359F5023F634B4FEEEDF9A7C5AC
EC6DA359F5023F7D4B58EAC1FDD2C39A.taxon	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934				Animalia	Arthropoda	Insecta	Hemiptera	Coreidae	Leptocoris	species	Leptocoris carnivorus Usinger 1946	Usinger 1946	Leptocoris carnivorus	Leptocoris carnivorus			Usinger	1946		spec. nov.	https://treatment.plazi.org/id/EC6DA359F5023F7D4B58EAC1FDD2C39A
EC6DA359F51C3F7D4B46EB2CFA72C4B0.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Lygaeidae	Graptostethus	species	Graptostethus nigriceps Stal	Stal	Graptostethus nigriceps	Graptostethus nigriceps Stal.			Stal				https://treatment.plazi.org/id/EC6DA359F51C3F7D4B46EB2CFA72C4B0
EC6DA359F51C3F7C4B47E935F8A4C3B9.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Lygaeidae	Nysius	species	Nysius pulchellus Stal	Stal	Nysius pulchellus	Nysius pulchellus Stal			Stal				https://treatment.plazi.org/id/EC6DA359F51C3F7C4B47E935F8A4C3B9
EC6DA359F51D3F7F4BABE81FFA50C0FE.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Ninidae	Ninus	species	Ninus insignis Stal	Stal	Ninus insignis	Ninus insignis Stal			Stal				https://treatment.plazi.org/id/EC6DA359F51D3F7F4BABE81FFA50C0FE
EC6DA359F51D3F7C4BADED9BF92CC799.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Lygaeidae	Nysius	species	Nysius caledoniae Distant	Distant	Nysius caledoniae	Nysius caledoniae Distant			Distant				https://treatment.plazi.org/id/EC6DA359F51D3F7C4BADED9BF92CC799
EC6DA359F51E3F7F4B4DEA73F986C4C4.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Oxycarenidae	Clerada	species	Clerada apicicornis Signoret	Signoret	Clerada apicicornis	Clerada apicicornis Signoret			Signoret				https://treatment.plazi.org/id/EC6DA359F51E3F7F4B4DEA73F986C4C4
EC6DA359F51E3F7F4B49ED74FC2CC521.taxon					Animalia	Arthropoda	Insecta	Hemiptera	Oxycarenidae	Oxycarenus	species	Oxycarenus bicolor Fieber	Fieber	Oxycarenus bicolor	Oxycarenus bicolor Fieber			Fieber				https://treatment.plazi.org/id/EC6DA359F51E3F7F4B49ED74FC2CC521
