title,description,record_count,uuid,imf,doi,dwca
no title,no description,0,3E2FFFD28269FFBA01661E40436DDC7F,InsectsOfGuamI.172.211-218.pdf.imf,no doi,no dwca url
no title,no description,0,FFD7FFEB886AFFCD28113213FFA86C28,InsectsOfGuamII.189.228-228.pdf.imf,no doi,no dwca url
no title,no description,0,6D52FFB8FF92FFADFF95FFC0A34F4C1B,InsectsOfGuamII.189.pi-pi.pdf.imf,no doi,no dwca url
no title,no description,0,FFDEFFB5FFEF2668F3703F1BA92CFFEC,InsectsOfGuamI.172.pi-iii.pdf.imf,no doi,no dwca url
no title,no description,0,FFAB9206FFF3FF85FF802719FFCC1948,InsectsOfGuamII.189.piii-piii.pdf.imf,no doi,no dwca url
no title,no description,0,FFACC92EFFE0FFEBFFB2FFC1FFFB1840,InsectsOfGuamI.172.piv-piv.pdf.imf,no doi,no dwca url
no title,no description,0,FF96AE2B4919FFEE533EDE21E401C676,InsectsOfGuamII.189.229-237.pdf.imf,no doi,no dwca url
Strepsiptera of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1942): Strepsiptera of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 173, DOI: http://doi.org/10.5281/zenodo.5160090",2,FFF07216FFA41642FFBAFFE7FFCA482A,InsectsOfGuamI.172.173-173.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5160090"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/FFF07216FFA41642FFBAFFE7FFCA482A.zip"">dwca</a>"
Halictine Bees from Rota Island,"This dataset contains the digitized treatments in Plazi based on the original book chapter Cockerell, T. D. A. (1942): Halictine Bees from Rota Island. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 191-194, DOI: http://doi.org/10.5281/zenodo.5160456",3,A676FD1EF22D3F34FF8F8907FFDAFC58,InsectsOfGuamI.172.191-194.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5160456"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/A676FD1EF22D3F34FF8F8907FFDAFC58.zip"">dwca</a>"
Ciidae of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Zimmerman, Elwood C. (1942): Ciidae of Guam. In: Insects of Guam-I. Honolulu, Hawaii: Bernice P. Bishop Museum: 47-52, DOI: http://doi.org/10.5281/zenodo.5159455",5,6137FFB29C68FFD2FFB6585FFF92FFC4,InsectsOfGuamI.172.47-52.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5159455"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/6137FFB29C68FFD2FFB6585FFF92FFC4.zip"">dwca</a>"
Isoptera of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Light, S. F. (1946): Isoptera of Guam. In: Insects of Guam II. Bernice P. Bishop Museum: 9, DOI: http://doi.org/10.5281/zenodo.5160243",6,FFDEFF89B713A955FFD59822FF8CFF82,InsectsOfGuamII.189.9-9.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5160243"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/FFDEFF89B713A955FFD59822FF8CFF82.zip"">dwca</a>"
Rhipiceridae Of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Zimmerman, Elwood C. (1942): Rhipiceridae Of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 45-46, DOI: http://doi.org/10.5281/zenodo.5159434",9,FFECFFAC5917FF88FFDE5B1BFFC4FF9B,InsectsOfGuamI.172.45-46.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5159434"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/FFECFFAC5917FF88FFDE5B1BFFC4FF9B.zip"">dwca</a>"
Aphididae and Aleurodidae Of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1942): Aphididae and Aleurodidae Of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 23-24, DOI: http://doi.org/10.5281/zenodo.5159809",9,FF8CA776FF947F25FF920C4AFFF5FF0F,InsectsOfGuamI.172.23-24.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5159809"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/FF8CA776FF947F25FF920C4AFFF5FF0F.zip"">dwca</a>"
Culicidae of Guam,"This dataset contains the digitized treatments in Plazi based on the original book chapter Swezey, O. H. (1942): Culicidae of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 199-200, DOI: http://doi.org/10.5281/zenodo.5173998",10,4125F147872BFF9DFFF5FFAC140DFF83,InsectsOfGuamI.172.199-200.pdf.imf,"<a href=""http://doi.org/10.5281/zenodo.5173998"">doi</a>","<a href=""http://tb.plazi.org/GgServer/dwca/4125F147872BFF9DFFF5FFAC140DFF83.zip"">dwca</a>"
